_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime
51875,a1292,b2291,deepwater horizon,2016,Peter Berg,Mark Wahlberg Kurt Russell Douglas M. Griffin James DuMont,107,deepwater horizon,2016,Peter Berg,Brad Leland David Maldonado Douglas M. Griffin Gina Rodriguez James DuMont Joe Chrest John Malkovich Kurt Russell Mark Wahlberg,107
51915,a691,b2292,end of watch,2012,David Ayer,Jake Gyllenhaal Michael Peña Anna Kendrick America Ferrera,109,end of watch,2012,David Ayer,America Ferrera Anna Kendrick Jake Gyllenhaal Michael Peña,109
51942,a1683,b2292,a dangerous method,2011,David Cronenberg,Michael Fassbender Keira Knightley Viggo Mortensen Vincent Cassel,99,end of watch,2012,David Ayer,America Ferrera Anna Kendrick Jake Gyllenhaal Michael Peña,109
52020,a256,b2292,john wick,2014,Chad Stahelski David Leitch,Keanu Reeves Michael Nyqvist Alfie Allen Willem Dafoe,101,end of watch,2012,David Ayer,America Ferrera Anna Kendrick Jake Gyllenhaal Michael Peña,109
52051,a2518,b2294,dirty rotten scoundrels,1988,Frank Oz,Steve Martin Michael Caine Glenne Headly Anton Rodgers,110,dirty rotten scoundrels,1988,Frank Oz,Michael Caine Steve Martin,110
52070,a969,b2299,twister,1996,Jan de Bont,Helen Hunt Bill Paxton Cary Elwes Jami Gertz,113,twister,1996,Jan de Bont,Bill Paxton Helen Hunt,113
52130,a743,b2300,the adventures of tintin,2011,Steven Spielberg,Jamie Bell Andy Serkis Daniel Craig Simon Pegg,107,the adventures of tintin,2011,Steven Spielberg,Andy Serkis Jamie Bell,107
52147,a1163,b2302,insidious  chapter 2,2013,James Wan,Patrick Wilson Rose Byrne Barbara Hershey Lin Shaye,106,the conjuring,2013,James Wan,Lili Taylor Patrick Wilson Ron Livingston Vera Farmiga,112
52187,a292,b2302,the conjuring,2013,James Wan,Patrick Wilson Vera Farmiga Ron Livingston Lili Taylor,112,the conjuring,2013,James Wan,Lili Taylor Patrick Wilson Ron Livingston Vera Farmiga,112
52293,a2797,b2305,the world s fastest indian,2005,Roger Donaldson,Anthony Hopkins Diane Ladd Iain Rea Tessa Mitchell,127,the world s fastest indian,2005,Roger Donaldson,Anthony Hopkins,127
52457,a1552,b2315,the butler,2013,Lee Daniels,Forest Whitaker Oprah Winfrey John Cusack Jane Fonda,132,the homesman,2014,Tommy Lee Jones,David Dencik Grace Gummer Hilary Swank James Spader John Lithgow Miranda Otto Sonja Richter Tim Blake Nelson Tommy Lee Jones,122
52470,a1201,b2315,the age of adaline,2015,Lee Toland Krieger,Blake Lively Michiel Huisman Harrison Ford Kathy Baker,112,the homesman,2014,Tommy Lee Jones,David Dencik Grace Gummer Hilary Swank James Spader John Lithgow Miranda Otto Sonja Richter Tim Blake Nelson Tommy Lee Jones,122
52491,a1911,b2315,the founder,2016,John Lee Hancock,Michael Keaton Nick Offerman John Carroll Lynch Linda Cardellini,115,the homesman,2014,Tommy Lee Jones,David Dencik Grace Gummer Hilary Swank James Spader John Lithgow Miranda Otto Sonja Richter Tim Blake Nelson Tommy Lee Jones,122
52570,a1335,b2318,we need to talk about kevin,2011,Lynne Ramsay,Tilda Swinton John C. Reilly Ezra Miller Jasper Newell,112,we need to talk about kevin,2011,Lynne Ramsay,,110
52598,a2886,b2322,the east,2013,Zal Batmanglij,Brit Marling Alexander Skarsgård Ellen Page Toby Kebbell,116,the east,2013,Zal Batmanglij,Aldis Hodge Alexander Skarsgård Brit Marling Danielle Macdonald Ellen Page Hillary Baack Jason Ritter Julia Ormond Patricia Clarkson Shiloh Fernandez Toby Kebbell,116
52602,a1818,b2323,monster house,2006,Gil Kenan,Mitchel Musso Sam Lerner Spencer Locke Ryan Newman,91,monster house,2006,Gil Kenan,Mitchel Musso Sam Lerner Spencer Locke,91
52643,a1039,b2325,black mass,2015,Scott Cooper,Johnny Depp Benedict Cumberbatch Dakota Johnson Joel Edgerton,123,black mass,2015,Scott Cooper,Benedict Cumberbatch Dakota Johnson Joel Edgerton Johnny Depp,122
52652,a236,b2325,doctor strange,2016,Scott Derrickson,Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams Benedict Wong,115,black mass,2015,Scott Cooper,Benedict Cumberbatch Dakota Johnson Joel Edgerton Johnny Depp,122
52672,a247,b2327,the hateful eight,2015,Quentin Tarantino,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins,187,the hateful eight,2015,Quentin Tarantino,Bruce Dern Channing Tatum Demián Bichir Jennifer Jason Leigh Kurt Russell Michael Madsen Samuel L. Jackson Tim Roth Walton Goggins,0
52780,a1210,b2333,good bye lenin ,2003,Wolfgang Becker,Daniel Brühl Katrin Saß Chulpan Khamatova Florian Lukas,121,goodbye lenin ,2004,Wolfgang Becker,Chulpan Khamatova Daniel Brühl Florian Lukas Katrin Saß,121
52907,a1792,b2339,existenz,1999,David Cronenberg,Jude Law Jennifer Jason Leigh Ian Holm Willem Dafoe,97,born romantic,2001,David Kane,Craig Ferguson Ian Hart,96
53038,a342,b2342,the illusionist,2006,Neil Burger,Edward Norton Jessica Biel Paul Giamatti Rufus Sewell,110,the illusionist,2006,Neil Burger,Edward Norton Jessica Biel Paul Giamatti,110
53072,a618,b2343,office space,1999,Mike Judge,Ron Livingston Jennifer Aniston David Herman Ajay Naidu,89,office space,1999,Mike Judge,Jennifer Aniston Ron Livingston,89
53372,a188,b2362,the bourne identity,2002,Doug Liman,Franka Potente Matt Damon Chris Cooper Clive Owen,119,the bourne identity,2002,Doug Liman,Franka Potente Matt Damon,119
53380,a1686,b2364,patch adams,1998,Tom Shadyac,Robin Williams Daniel London Monica Potter Philip Seymour Hoffman,115,winter sleepers,2000,Tom Tykwer,Floriane Daniel Heino Ferch Josef Bierbichler Laura Tonke Marie-Lou Sellem Ulrich Matthes,122
53417,a2460,b2365,spawn,1997,Mark A.Z. Dippé,Michael Jai White John Leguizamo Martin Sheen Theresa Randle,96,little voice,1998,Mark Herman,Brenda Blethyn Jane Horrocks Michael Caine,97
53559,a1067,b2374,clueless,1995,Amy Heckerling,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd,97,clueless,1995,Amy Heckerling,Alicia Silverstone Brittany Murphy Paul Rudd Stacey Dash,97
53586,a2554,b2377,sisters,2015,Jason Moore,Amy Poehler Tina Fey Maya Rudolph Ike Barinholtz,118,thank you for your service,2017,Jason Hall,Amy Schumer Beulah Koale Brad Beyer Cecil M. Henry Erin Darke Haley Bennett Hunter Burke Jayson Warner Smith Joe Cole Kate Lyn Sheil Keisha Castle-Hughes Kerry Cahill Michael Love Toliver Miles Teller Omar J. Dorsey Scott Haze,109
53600,a2389,b2380,europa report,2013,Sebastián Cordero,Sharlto Copley Michael Nyqvist Christian Camargo Embeth Davidtz,90,europa report,2013,Sebastián Cordero,Anamaria Marinca Christian Camargo Dan Fogler Daniel Wu Embeth Davidtz Isiah Whitlock Jr Karolina Wydra Michael Nyqvist Sharlto Copley,90
53980,a2505,b2393,scary movie 5,2013,Malcolm D. Lee David Zucker,Simon Rex Ashley Tisdale Charlie Sheen Lindsay Lohan,86,girl model,2012,Ashley Sabin David Redmon,Ashley Arbaugh Rachel Blais,78
54002,a691,b2394,end of watch,2012,David Ayer,Jake Gyllenhaal Michael Peña Anna Kendrick America Ferrera,109,john wick,2014,Chad Stahelski David Leitch,Adrianne Palicki Alfie Allen Bridget Moynahan Dean Winters Ian McShane Keanu Reeves Michael Nyqvist Willem Dafoe,101
54026,a2186,b2394,collateral beauty,2016,David Frankel,Will Smith Edward Norton Kate Winslet Michael Peña,97,john wick,2014,Chad Stahelski David Leitch,Adrianne Palicki Alfie Allen Bridget Moynahan Dean Winters Ian McShane Keanu Reeves Michael Nyqvist Willem Dafoe,101
54095,a1472,b2394,premium rush,2012,David Koepp,Joseph Gordon-Levitt Michael Shannon Dania Ramirez Sean Kennedy,91,john wick,2014,Chad Stahelski David Leitch,Adrianne Palicki Alfie Allen Bridget Moynahan Dean Winters Ian McShane Keanu Reeves Michael Nyqvist Willem Dafoe,101
54108,a256,b2394,john wick,2014,Chad Stahelski David Leitch,Keanu Reeves Michael Nyqvist Alfie Allen Willem Dafoe,101,john wick,2014,Chad Stahelski David Leitch,Adrianne Palicki Alfie Allen Bridget Moynahan Dean Winters Ian McShane Keanu Reeves Michael Nyqvist Willem Dafoe,101
54157,a1189,b2396,the way way back,2013,Nat Faxon Jim Rash,Steve Carell Toni Collette Allison Janney AnnaSophia Robb,103,the way  way back,2013,Jim Rash Nat Faxon,Allison Janney Amanda Peet Annasophia Robb Liam James Maya Rudolph Rob Corddry Sam Rockwell Steve Carell Toni Collette,103
54174,a909,b2397,chef,2014,Jon Favreau,Jon Favreau Robert Downey Jr. Scarlett Johansson Dustin Hoffman,114,chef,2014,Jon Favreau,Bobby Cannavale Dustin Hoffman John Leguizamo Jon Favreau Robert Downey Jr. Scarlett Johansson Sofía Vergara,114
54175,a1295,b2397,last vegas,2013,Jon Turteltaub,Robert De Niro Michael Douglas Morgan Freeman Kevin Kline,105,chef,2014,Jon Favreau,Bobby Cannavale Dustin Hoffman John Leguizamo Jon Favreau Robert Downey Jr. Scarlett Johansson Sofía Vergara,114
54429,a187,b2410,rise of the planet of the apes,2011,Rupert Wyatt,James Franco Andy Serkis Freida Pinto Karin Konoval,105,rise of the planet of the apes,2011,Rupert Wyatt,Andy Serkis Freida Pinto James Franco,110
54609,a1651,b2422,my cousin vinny,1992,Jonathan Lynn,Joe Pesci Marisa Tomei Ralph Macchio Mitchell Whitfield,120,my cousin vinny,1992,Jonathan Lynn,Joe Pesci Marisa Tomei,120
54749,a186,b2424,x2,2003,Bryan Singer,Patrick Stewart Hugh Jackman Halle Berry Ian McKellen,134,x2  x men united,2003,Bryan Singer,Anna Paquin Brian Cox Halle Berry Hugh Jackman Ian McKellen Patrick Stewart,133
55074,a2568,b2429,stripes,1981,Ivan Reitman,Bill Murray John Candy Harold Ramis Warren Oates,106,stripes,1981,Ivan Reitman,Bill Murray John Candy,106
55085,a705,b2430,paranormal activity,2007,Oren Peli,Katie Featherston Micah Sloat Mark Fredrichs Amber Armstrong,86,paranormal activity,2009,Oren Peli,Katie Featherston Micah Sloat,86
55600,a501,b2443,eyes wide shut,1999,Stanley Kubrick,Tom Cruise Nicole Kidman Todd Field Sydney Pollack,159,eyes wide shut,1999,Stanley Kubrick,Nicole Kidman Tom Cruise,159
55612,a2844,b2444,night on earth,1991,Jim Jarmusch,Winona Ryder Gena Rowlands Lisanne Falk Alan Randolph Scott,129,night on earth,1991,Jim Jarmusch,Alan Randolph Scott Anthony Portillo Armin Mueller-Stahl Gena Rowlands Giancarlo Esposito Isaach De Bankolé Lisanne Falk Richard Boes Rosie Perez Winona Ryder,129
55629,a631,b2445,the place beyond the pines,2012,Derek Cianfrance,Ryan Gosling Bradley Cooper Eva Mendes Craig Van Hook,140,the place beyond the pines,2013,Derek Cianfrance,Bradley Cooper Eva Mendes Ryan Gosling,140
55639,a542,b2447,batman returns,1992,Tim Burton,Michael Keaton Danny DeVito Michelle Pfeiffer Christopher Walken,126,batman returns,1992,Tim Burton,Danny DeVito Michael Keaton Michelle Pfeiffer,126
55776,a99,b2453,star wars  episode iii   revenge of the sith,2005,George Lucas,Hayden Christensen Natalie Portman Ewan McGregor Samuel L. Jackson,140,star wars  episode iii   revenge of the sith,2005,George Lucas,Ewan McGregor Hayden Christensen Natalie Portman,140
55810,a1002,b2455,the assassination of jesse james by the coward robert ford,2007,Andrew Dominik,Brad Pitt Casey Affleck Sam Shepard Mary-Louise Parker,160,the assassination of jesse james by the coward robert ford,2007,Andrew Dominik,Brad Pitt Casey Affleck Sam Shepard,160
55817,a941,b2456,fracture,2007,Gregory Hoblit,Anthony Hopkins Ryan Gosling David Strathairn Rosamund Pike,113,fracture,2007,Gregory Hoblit,Anthony Hopkins David Strathairn Ryan Gosling,113
56046,a1909,b2469,bedtime stories,2008,Adam Shankman,Adam Sandler Keri Russell Courteney Cox Guy Pearce,99,awesome  i fuckin  shot that ,2006,Adam Yauch,Adam Horovitz Adam Yauch Mike D,90
56081,a373,b2471,the italian job,2003,F. Gary Gray,Donald Sutherland Mark Wahlberg Edward Norton Charlize Theron,111,the italian job,2003,F. Gary Gray,Charlize Theron Donald Sutherland Edward Norton Jason Statham Mark Wahlberg Mos Def Seth Green,111
56151,a2612,b2476,never say never again,1983,Irvin Kershner,Sean Connery Kim Basinger Klaus Maria Brandauer Max von Sydow,134,never say never again,1983,Irvin Kershner,Kim Basinger Sean Connery,134
56158,a1670,b2478,neighbors 2  sorority rising,2016,Nicholas Stoller,Seth Rogen Rose Byrne Zac Efron Chloë Grace Moretz,92,neighbors,2014,Nicholas Stoller,Lisa Kudrow Rose Byrne Seth Rogen Zac Efron,97
56160,a509,b2478,neighbors,2014,Nicholas Stoller,Seth Rogen Rose Byrne Zac Efron Lisa Kudrow,97,neighbors,2014,Nicholas Stoller,Lisa Kudrow Rose Byrne Seth Rogen Zac Efron,97
56269,a2673,b2481,top secret ,1984,Jim Abrahams David Zucker Jerry Zucker,Val Kilmer Lucy Gutteridge Peter Cushing Jeremy Kemp,90,top secret ,1984,David Zucker Jerry Zucker Jim Abrahams,Val Kilmer,90
56387,a606,b2482,noah,2014,Darren Aronofsky,Russell Crowe Jennifer Connelly Anthony Hopkins Emma Watson,138,noah,2014,Darren Aronofsky,Anthony Hopkins Emma Watson Jennifer Connelly Logan Lerman Nick Nolte Russell Crowe,138
56400,a2850,b2484,a river runs through it,1992,Robert Redford,Craig Sheffer Brad Pitt Tom Skerritt Brenda Blethyn,123,a river runs through it,1992,Robert Redford,Brad Pitt Craig Sheffer,123
56459,a2403,b2487,whip it,2009,Drew Barrymore,Ellen Page Drew Barrymore Kristen Wiig Sarah Habel,111,whip it,2009,Drew Barrymore,Drew Barrymore Ellen Page Kristen Wiig,111
56498,a1782,b2495,primer,2004,Shane Carruth,Shane Carruth David Sullivan Casey Gooden Anand Upadhyaya,77,primer,2004,Shane Carruth,Anand Upadhyaya Casey Gooden David Sullivan Shane Carruth,77
56525,a2302,b2497,four lions,2010,Christopher Morris,Will Adamsdale Riz Ahmed Adeel Akhtar Arsher Ali,97,four lions,2010,Christopher Morris,Adeel Akhtar Riz Ahmed,97
56722,a61,b2503,jurassic park,1993,Steven Spielberg,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough,127,jurassic park,1993,Steven Spielberg,Jeff Goldblum Laura Dern Richard Attenborough Sam Neill,127
56756,a15,b2508,gladiator,2000,Ridley Scott,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed,155,gladiator,2000,Ridley Scott,Connie Nielsen Joaquin Phoenix Russell Crowe,155
56813,a2580,b2509,everybody s fine,2009,Kirk Jones,Robert De Niro Kate Beckinsale Sam Rockwell Drew Barrymore,99,moon,2009,Duncan Jones,Sam Rockwell,97
56816,a406,b2509,moon,2009,Duncan Jones,Sam Rockwell Kevin Spacey Dominique McElligott Rosie Shaw,97,moon,2009,Duncan Jones,Sam Rockwell,97
56831,a553,b2512,forgetting sarah marshall,2008,Nicholas Stoller,Kristen Bell Jason Segel Paul Rudd Mila Kunis,111,forgetting sarah marshall,2008,Nicholas Stoller,Jason Segel Kristen Bell Paul Rudd,111
57152,a2371,b2520,hush,2016,Mike Flanagan,John Gallagher Jr. Kate Siegel Michael Trucco Samantha Sloyan,81,hush,2016,Mike Flanagan,,81
57260,a2753,b2524,thirteen days,2000,Roger Donaldson,Kevin Costner Bruce Greenwood Shawn Driscoll Drake Cook,145,thirteen days,2000,Roger Donaldson,Bruce Greenwood Kevin Costner,145
57269,a1030,b2525,the road warrior,1981,George Miller,Mel Gibson Bruce Spence Michael Preston Max Phipps,94,mad max,1980,George Miller,Mel Gibson,88
57308,a873,b2525,mad max,1979,George Miller,Mel Gibson Joanne Samuel Hugh Keays-Byrne Steve Bisley,88,mad max,1980,George Miller,Mel Gibson,88
57324,a590,b2526,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,interiors,1978,Woody Allen,Diane Keaton Geraldine Page,93
57331,a1303,b2526,manhattan,1979,Woody Allen,Woody Allen Diane Keaton Mariel Hemingway Michael Murphy,96,interiors,1978,Woody Allen,Diane Keaton Geraldine Page,93
57342,a2470,b2528,robot   frank,2012,Jake Schreier,Peter Sarsgaard Frank Langella Susan Sarandon Liv Tyler,89,robot and frank,2012,Jake Schreier,Frank Langella Liv Tyler Peter Sarsgaard Susan Sarandon,89
57434,a313,b2532,in bruges,2008,Martin McDonagh,Colin Farrell Brendan Gleeson Ciarán Hinds Elizabeth Berrington,107,in bruges,2008,Martin McDonagh,Brendan Gleeson Colin Farrell,107
57454,a2212,b2534,synecdoche  new york,2008,Charlie Kaufman,Philip Seymour Hoffman Samantha Morton Michelle Williams Catherine Keener,124,synecdoche  new york,2008,Charlie Kaufman,Michelle Williams Philip Seymour Hoffman Samantha Morton,124
57492,a839,b2538,nocturnal animals,2016,Tom Ford,Amy Adams Jake Gyllenhaal Michael Shannon Aaron Taylor-Johnson,116,nocturnal animals,2016,Tom Ford,Aaron Taylor-Johnson Amy Adams Isla Fisher Jake Gyllenhaal Michael Shannon,116
57523,a905,b2540,bolt,2008,Byron Howard Chris Williams,John Travolta Miley Cyrus Susie Essman Mark Walton,96,bolt,2008,Byron Howard Chris Williams,John Travolta Miley Cyrus Susie Essman,96
57603,a2050,b2543,scrooged,1988,Richard Donner,Bill Murray Karen Allen John Forsythe John Glover,101,lethal weapon,1987,Richard Donner,Danny Glover Mel Gibson,110
57606,a647,b2543,lethal weapon,1987,Richard Donner,Mel Gibson Danny Glover Gary Busey Mitchell Ryan,110,lethal weapon,1987,Richard Donner,Danny Glover Mel Gibson,110
57621,a1077,b2543,lethal weapon 2,1989,Richard Donner,Mel Gibson Danny Glover Joe Pesci Patsy Kensit,114,lethal weapon,1987,Richard Donner,Danny Glover Mel Gibson,110
57685,a1900,b2546,t2 trainspotting,2017,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle,117,t2 trainspotting,2017,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle,117
57698,a450,b2547,the interview,2014,Evan Goldberg Seth Rogen,James Franco Seth Rogen Randall Park Lizzy Caplan,112,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107
57699,a997,b2547,ted 2,2015,Seth MacFarlane,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth,115,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107
57702,a149,b2547,ted,2012,Seth MacFarlane,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale,106,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107
57703,a310,b2547,this is the end,2013,Evan Goldberg Seth Rogen,James Franco Jonah Hill Seth Rogen Jay Baruchel,107,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107
57706,a987,b2547,a million ways to die in the west,2014,Seth MacFarlane,Seth MacFarlane Charlize Theron Liam Neeson Amanda Seyfried,116,this is the end,2013,Evan Goldberg Seth Rogen,Craig Robinson Danny McBride Emma Watson James Franco Jay Baruchel Jonah Hill Michael Cera Mindy Kaling Paul Rudd Seth Rogen,107
57757,a2317,b2552,fatal attraction,1987,Adrian Lyne,Michael Douglas Glenn Close Anne Archer Ellen Latzen,119,fatal attraction,1987,Adrian Lyne,Anne Archer Glenn Close Michael Douglas,119
57946,a939,b2557,25th hour,2002,Spike Lee,Edward Norton Barry Pepper Philip Seymour Hoffman Rosario Dawson,135,25th hour,2002,Spike Lee,Barry Pepper Edward Norton Philip Seymour Hoffman,135
58006,a2187,b2559,stir of echoes,1999,David Koepp,Kevin Bacon Zachary David Cope Kathryn Erbe Illeana Douglas,99,stir of echoes,1999,David Koepp,Kevin Bacon,99
58153,a399,b2562,die hard 2,1990,Renny Harlin,Bruce Willis William Atherton Bonnie Bedelia Reginald VelJohnson,124,die hard 2,1990,Renny Harlin,Bruce Willis William Atherton,124
58210,a690,b2567,robocop,1987,Paul Verhoeven,Peter Weller Nancy Allen Dan O'Herlihy Ronny Cox,102,robocop,1987,Paul Verhoeven,Nancy Allen Peter Weller,102
58308,a1855,b2571,ip man 2,2010,Wilson Yip,Donnie Yen Xiaoming Huang Sammo Kam-Bo Hung Lynn Hung,108,ip man 2,2011,Wilson Yip,,108
58417,a1025,b2583,willy wonka   the chocolate factory,1971,Mel Stuart,Gene Wilder Jack Albertson Peter Ostrum Roy Kinnear,100,willy wonka   the chocolate factory,1971,Mel Stuart,Denise Nickerson Gene Wilder Jack Albertson Julie Dawn Cole Leonard Stone Nora Denney Paris Themmen Peter Ostrum Roy Kinnear Ursula Reit,100
58450,a2182,b2587,stay,2005,Marc Forster,Ewan McGregor Naomi Watts Ryan Gosling Kate Burton,99,finding neverland,2004,Marc Forster,Johnny Depp Julie Christie Kate Winslet,106
58452,a779,b2587,finding neverland,2004,Marc Forster,Johnny Depp Kate Winslet Julie Christie Radha Mitchell,106,finding neverland,2004,Marc Forster,Johnny Depp Julie Christie Kate Winslet,106
58683,a1957,b2594,ghost dog  the way of the samurai,1999,Jim Jarmusch,Forest Whitaker Henry Silva John Tormey Cliff Gorman,116,ghost dog  the way of the samurai,2000,Jim Jarmusch,Forest Whitaker Henry Silva,116
58736,a1953,b2596,haywire,2011,Steven Soderbergh,Gina Carano Ewan McGregor Michael Fassbender Michael Angarano,93,haywire,2012,Steven Soderbergh,Ewan McGregor Gina Carano Michael Fassbender,93
58834,a1367,b2605,good morning  vietnam,1987,Barry Levinson,Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana,121,good morning  vietnam,1988,Barry Levinson,Bruno Kirby Chintara Sukapatana Forest Whitaker J.T. Walsh Juney Smith Noble Willingham Richard Edson Robert Wuhl Robin Williams Tung Thanh Tran,121
58861,a2697,b2608,shallow grave,1994,Danny Boyle,Kerry Fox Christopher Eccleston Ewan McGregor Ken Stott,89,shallow grave,1995,Danny Boyle,Christopher Eccleston Ewan McGregor Kerry Fox,92
58866,a124,b2608,trainspotting,1996,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd,94,shallow grave,1995,Danny Boyle,Christopher Eccleston Ewan McGregor Kerry Fox,92
58907,a642,b2610,kung fu panda 2,2011,Jennifer Yuh Nelson,Jack Black Angelina Jolie Jackie Chan Dustin Hoffman,90,kung fu panda 2,2011,Jennifer Yuh,Angelina Jolie Jack Black Jackie Chan,90
58935,a2417,b2614,open range,2003,Kevin Costner,Kevin Costner Robert Duvall Diego Luna Abraham Benrubi,139,open range,2003,Kevin Costner,Abraham Benrubi Diego Luna Kevin Costner Robert Duvall,139
58960,a676,b2616,enemy of the state,1998,Tony Scott,Will Smith Gene Hackman Jon Voight Lisa Bonet,132,enemy of the state,1998,Tony Scott,Gene Hackman Will Smith,132
59134,a965,b2617,ronin,1998,John Frankenheimer,Robert De Niro Jean Reno Natascha McElhone Stellan Skarsgård,122,ronin,1998,John Frankenheimer,Jean Reno Natascha McElhone Robert De Niro,122
59180,a693,b2620,the ides of march,2011,George Clooney,Paul Giamatti George Clooney Philip Seymour Hoffman Ryan Gosling,101,the ides of march,2011,George Clooney,,101
59239,a231,b2625,the perks of being a wallflower,2012,Stephen Chbosky,Logan Lerman Emma Watson Ezra Miller Paul Rudd,102,the perks of being a wallflower,2012,Stephen Chbosky,Emma Watson Ezra Miller Logan Lerman Paul Rudd,102
59448,a723,b2639,garden state,2004,Zach Braff,Zach Braff Peter Sarsgaard Natalie Portman Ian Holm,102,garden state,2004,Zach Braff,Peter Sarsgaard Zach Braff,102
59648,a2389,b2646,europa report,2013,Sebastián Cordero,Sharlto Copley Michael Nyqvist Christian Camargo Embeth Davidtz,90,crystal fairy   the magical cactus,2013,Sebastián Silva,Agustín Silva Gaby Hoffmann Jos Juan Andr Michael Cera,98
59674,a1888,b2647,while you were sleeping,1995,Jon Turteltaub,Sandra Bullock Bill Pullman Peter Gallagher Peter Boyle,103,while you were sleeping,1995,Jon Turteltaub,Bill Pullman Peter Gallagher Sandra Bullock,103
59784,a2499,b2652,nineteen eighty four,1984,Michael Radford,John Hurt Richard Burton Suzanna Hamilton Cyril Cusack,113,1984,1985,Michael Radford,Andrew Wilde Anthony Benson Cyril Cusack David Cann David Trevena Gregor Fisher James Walker John Hurt Richard Burton Suzanna Hamilton,113
59831,a293,b2653,guardians of the galaxy vol  2,2017,James Gunn,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel,136,furious 7,2015,James Wan,Dwayne Johnson Jason Statham Paul Walker Tyrese Gibson Vin Diesel,137
59862,a350,b2653,furious 7,2015,James Wan,Vin Diesel Paul Walker Dwayne Johnson Jason Statham,137,furious 7,2015,James Wan,Dwayne Johnson Jason Statham Paul Walker Tyrese Gibson Vin Diesel,137
59919,a1550,b2659,death at a funeral,2007,Frank Oz,Matthew Macfadyen Peter Dinklage Ewen Bremner Keeley Hawes,90,death at a funeral,2007,Frank Oz,Ewen Bremner Matthew MacFadyen Peter Dinklage,87
60024,a2851,b2664,the american president,1995,Rob Reiner,Michael Douglas Annette Bening Martin Sheen Michael J. Fox,114,the american president,1995,Rob Reiner,Annette Bening Martin Sheen Michael Douglas Michael J. Fox,114
60052,a1884,b2665,fast times at ridgemont high,1982,Amy Heckerling,Sean Penn Jennifer Jason Leigh Judge Reinhold Robert Romanus,90,fast times at ridgemont high,1982,Amy Heckerling,Sean Penn,90
60075,a293,b2666,guardians of the galaxy vol  2,2017,James Gunn,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel,136,guardians of the galaxy vol  2,2017,James Gunn,Bradley Cooper Chris Pratt Dave Bautista Karen Gillan Michael Rooker Pom Klementieff Sylvester Stallone Vin Diesel Zoe Saldana,136
60106,a350,b2666,furious 7,2015,James Wan,Vin Diesel Paul Walker Dwayne Johnson Jason Statham,137,guardians of the galaxy vol  2,2017,James Gunn,Bradley Cooper Chris Pratt Dave Bautista Karen Gillan Michael Rooker Pom Klementieff Sylvester Stallone Vin Diesel Zoe Saldana,136
60237,a703,b2673,stranger than fiction,2006,Marc Forster,Will Ferrell Emma Thompson Dustin Hoffman Queen Latifah,113,stranger than fiction,2006,Marc Forster,Maggie Gyllenhaal Will Ferrell,113
60279,a867,b2675,big,1988,Penny Marshall,Tom Hanks Elizabeth Perkins Robert Loggia John Heard,104,arachnophobia,1990,Frank Marshall,Brian McNamara Harley Jane Kozak Henry Jones James Handy Jeff Daniels John Goodman Julian Sands Mark L. Taylor Peter Jason Stuart Pankin,103
60287,a2548,b2675,arachnophobia,1990,Frank Marshall,Jeff Daniels Julian Sands John Goodman Harley Jane Kozak,103,arachnophobia,1990,Frank Marshall,Brian McNamara Harley Jane Kozak Henry Jones James Handy Jeff Daniels John Goodman Julian Sands Mark L. Taylor Peter Jason Stuart Pankin,103
60296,a1007,b2677,primal fear,1996,Gregory Hoblit,Richard Gere Laura Linney Edward Norton John Mahoney,129,selena,1997,Gregory Nava,Edward James Olmos Jennifer Lopez Jon Seda,127
